ID,Épic,Feature,User Story,Description,Critères d’acceptation (Gherkin / tests),Priorité (MoSCoW),Estimation (Story Points),Dépendances,Roadmap Phase,Donnée personnelle (DPIA),Sécurité (menaces/contrôles),Admin/Backoffice,Tracking (analytics/event),Accessibilité (WCAG/RGAA),i18n/l10n,Notes
LM2-001,Onboarding & Compte,Création de compte,"En tant qu’utilisatrice, je veux créer un compte (email/tel)",Compte + vérification OTP + mdp fort.,Given nouvelle When je saisis email/tel+mdp fort Then OTP envoyé et compte créé non-vérifié.,Must,8,,M1-M3,Email/Tel,Hash mdp + OTP expirable + rate-limit,Non,"signup_started,signup_completed",AA,FR/AR,
LM2-002,Onboarding & Compte,Connexion,"En tant qu’utilisatrice, je veux me connecter",Sessions + logout.,Given compte vérifié When login Then jeton délivré; And lock après 5 échecs.,Must,5,LM2-001,M1-M3,Email/Tel,JWT+refresh + lockout,Non,"login_success,login_failed",AA,FR/AR,
LM2-003,Onboarding & Compte,Reset mot de passe,"En tant qu’utilisatrice, je veux réinitialiser mon mdp",Lien/OTP expirable.,Given oubli When je demande reset Then lien/OTP expirable one-time.,Must,5,LM2-001,M1-M3,Email/Tel,Token one-time,Non,"pw_reset_requested,pw_reset_done",AA,FR/AR,
LM2-004,Onboarding & Compte,Consentements,"En tant qu’utilisatrice, je veux gérer mes consentements","Consentements granulaires (analytics, push, IA).",Given 1er lancement When je choisis Then seules finalités acceptées actives; retrait stoppe collecte.,Must,8,LM2-001,M1-M3,Consentement,Preuve consentement horodatée,Non,consent_saved,AA,FR/AR,
LM2-005,Onboarding & Profil,Profil maman,"En tant qu’utilisatrice, je veux compléter mon profil",Statut enceinte/maman + dates + langue.,Given profil When je saisis dates Then phase calculée et timeline personnalisée.,Must,8,LM2-001,M1-M3,Données santé (dates),Chiffrement au repos,Non,profile_completed,AA,FR/AR,
LM2-006,Onboarding & Compte,Suppression compte,"En tant qu’utilisatrice, je veux supprimer mon compte",Suppression + période de grâce + purge.,Given je confirme Then état pending delete; purge après N jours.,Must,13,LM2-004,M4-M6,Toutes données,Purge + audit,Non,account_delete_requested,AA,FR/AR,
LM2-007,Onboarding & Compte,Export données,"En tant qu’utilisatrice, je veux exporter mes données",ZIP chiffré + lien expirable.,Given export When prêt Then lien signé expirable; ZIP chiffré.,Must,8,LM2-004,M4-M6,Toutes données,Chiffrement + URL signée,Non,data_export_requested,AA,FR/AR,
LM2-008,Onboarding & Compte,2FA,"En tant qu’utilisatrice, je veux activer une 2FA",2FA SMS/OTP.,Given 2FA active When nouvel appareil Then 2e facteur requis.,Could,8,LM2-002,M4-M6,Tel,MFA,Non,2fa_enabled,AA,FR/AR,
LM2-009,Onboarding & Compte,SSO,"En tant qu’utilisatrice, je veux me connecter via Apple/Google",OAuth SSO.,Given SSO When j’autorise Then compte créé/lié avec données minimales.,Should,8,,M4-M6,Email SSO,OAuth nonce,Non,sso_done,AA,FR/AR,
LM2-010,Onboarding & Compte,Mode invité,"En tant qu’utilisatrice, je veux tester sans compte",Capsules locales only.,Given invité When je crée capsule Then stockage local; import possible après signup.,Could,8,,M7-M9,Médias locaux,Isolation locale,Non,guest_mode_start,AA,FR/AR,
