ID;Épic;Feature;User Story;Description;Critères d’acceptation (Gherkin / tests);Priorité (MoSCoW);Estimation (Story Points);Dépendances;Roadmap Phase;Donnée personnelle (DPIA);Sécurité (menaces/contrôles);Admin/Backoffice;Tracking (analytics/event);i18n/l10n;Notes
LM2-118;Privacy & Compliance;Consentement Loi 18-07;En tant qu’utilisatrice, je veux accepter la Loi 18/07 afin de valider ma demande/inscription.;Afficher le texte légal Loi 18/07 et une case obligatoire « J’accepte ». Sauvegarder la preuve de consentement (consent=true/false, horodatage, version du texte).;"Scenario: Blocage sans acceptation
Given je suis sur l’écran contenant le texte Loi 18/07
When je tente de continuer sans cocher « J’accepte »
Then la progression est bloquée
And un message clair indique que l’acceptation est obligatoire

Scenario: Consentement sauvegardé
Given je coche « J’accepte »
When je clique sur « Continuer »
Then la progression est autorisée
And le système sauvegarde consent=true, timestamp, version_texte";Must;5;LM2-004;M1-M3;Consentement;"Preuve de consentement horodatée; protection anti-altération côté serveur (audit log / hash).";Non;law1807_viewed,law1807_accepted,law1807_blocked;FR/AR/EN;Addendum 27-04-2026.
LM2-119;Branding & UI;Splash branding;En tant qu’utilisatrice, je veux voir le logo et le nom Luckymam à l’ouverture de l’app.;Sur l’écran d’entrée (splash), afficher le logo existant + le texte « Luckymam » (orthographe exacte). Support RTL.;"Given j’ouvre l’application
When l’écran splash s’affiche
Then le logo Luckymam est visible
And le texte « Luckymam » est visible et lisible
And l’affichage fonctionne en RTL (arabe)";Should;3;;M1-M3;—;—;Non;splash_shown;FR/AR/EN;Addendum 27-04-2026.
LM2-120;Branding & Qualité;Normalisation libellés;En tant qu’utilisatrice, je veux voir le nom de la marque écrit correctement partout.;Remplacer toutes les occurrences UI « LuckyMam » → « Luckymam » (strings, titres, headers, etc.).;"Given je navigue sur les écrans principaux
Then aucune occurrence « LuckyMam » n’est visible
And « Luckymam » est affiché partout à la place";Must;3;LM2-088;M1-M3;—;—;Non;—;FR/AR/EN;Addendum 27-04-2026.
LM2-121;UI/UX;Header Home;En tant qu’utilisatrice, je veux une photo de profil plus visible sur la Home.;Agrandir la taille de l’avatar sur Home (responsive, touch target conforme).;"Given je suis sur la Home
Then l’avatar est plus grand qu’avant
And la mise en page reste stable sur petits écrans
And l’avatar reste cliquable (touch target conforme)";Should;2;;M1-M3;—;—;Non;profile_avatar_tapped;FR/AR/EN;Addendum 27-04-2026.
LM2-122;Monétisation;Ads gating & timers;En tant qu’utilisatrice, je veux une expérience adaptée à mon plan (durée pub ou absence).;"Règles pubs par plan: Standard ≥5s non-skippable; Freemium ≥3s non-skippable; VIP: 0 pub (aucun appel SDK/pub). Timer contrôlé côté app + enforcement côté serveur via entitlements.";"Scenario: Freemium - 3s minimum
Given mon plan est Freemium
When une publicité s’affiche
Then je ne peux pas la fermer avant 3 secondes

Scenario: Standard - 5s minimum
Given mon plan est Standard
When une publicité s’affiche
Then je ne peux pas la fermer avant 5 secondes

Scenario: VIP - zéro publicité
Given mon plan est VIP
When j’utilise l’app
Then aucune pub ne s’affiche
And aucun appel au provider/SDK pub n’est déclenché";Must;8;"LM2-043;LM2-113;LM2-047";M4-M6;SDK/Tracking (si ads);"Contrôle serveur (entitlements/feature flags) + anti-bypass; conformité consentement analytics/ads.";Oui;ad_impression,ad_timer_started,ad_closed,ad_blocked_vip;FR/AR/EN;Hypothèse: plans Freemium/Standard/VIP.
LM2-123;Onboarding & Profil;Statut utilisateur;En tant qu’utilisatrice, je veux indiquer que je souhaite être enceinte (HOPE).;Ajouter un statut profil « HOPE » (souhaite être enceinte) en plus de « MAMAN » et « ENCEINTE ». Impacts UI: pas de bloc grossesse (DPA/semaines) si HOPE.;"Given je suis dans l’écran profil
When je sélectionne le statut « HOPE »
Then le statut est sauvegardé
And les écrans liés à la grossesse (DPA/semaines) ne s’affichent pas";Must;5;LM2-005;M1-M3;Données santé (statut);"Chiffrement au repos + minimisation; contrôle accès.";Non;status_selected;FR/AR/EN;Addendum 27-04-2026.
LM2-124;Santé;Grossesse — DPA & âge gestationnel;En tant que femme enceinte, je veux connaître ma semaine de grossesse et ma DPA à partir de mes dernières règles.;"Si statut=ENCEINTE: demander DDR (date dernières règles) puis calculer DPA=DDR+280j; afficher « Vous êtes à la XX semaine » + « DPA = J-XX jours ». Mise à jour automatique quotidienne.";"Scenario: visible uniquement si enceinte
Given mon statut est « ENCEINTE »
When j’ouvre « Ma Santé »
Then je vois un bloc affichant « Vous êtes à la XX semaine »
And je vois « DPA = J-XX jours »

Scenario: caché si non enceinte
Given mon statut est « MAMAN » ou « HOPE »
When j’ouvre « Ma Santé »
Then je ne vois pas le bloc DPA

Scenario: recalcul automatique
Given DDR est renseignée
When la date du jour change
Then semaine et J-XX se mettent à jour";Must;8;LM2-005;M1-M3;Données santé (dates);"Chiffrement; analytics sans dates exactes; validation inputs.";Non;pregnancy_panel_viewed,lmp_saved,edd_computed;FR/AR/EN;Possibilité future: ajustement par longueur de cycle.
LM2-125;Santé / UI;Graph poids;En tant qu’utilisatrice, je veux que la courbe de poids soit lisible jusqu’à 80 kg.;Adapter l’axe Y (ou dynamique) pour couvrir au minimum 0–80 kg, sans tronquer les points. Option: étendre au-delà si valeurs >80.;"Given j’ai des valeurs de poids jusqu’à 80 kg
When j’affiche la courbe
Then toutes les valeurs sont visibles et non tronquées
And l’échelle est correcte jusqu’à 80 kg";Should;3;;M1-M3;Données santé;"Chiffrement au repos si stocké; minimisation.";Non;weight_chart_viewed;FR/AR/EN;Addendum 27-04-2026.
LM2-126;Engagement;Shortcut notifications;En tant qu’utilisatrice, je veux accéder rapidement aux réglages de notifications.;Ajouter un raccourci vers les préférences notifications (catégories + quiet hours).;"Given je suis sur Home (ou Settings)
When je clique sur « Raccourcis notifications »
Then j’ouvre l’écran de préférences notifications
And je peux activer/désactiver des catégories";Should;3;"LM2-082;LM2-004";M4-M6;Préférences;"Opt-in push; stockage sécurisé des préférences.";Non;notif_shortcut_opened,notif_prefs_updated;FR/AR/EN;Addendum 27-04-2026.
LM2-127;Timeline;Capsule sur jalons;En tant que maman, je veux pouvoir créer une capsule émotionnelle pour chaque jalon.;Chaque jalon doit proposer « Créer capsule » (ou « Voir capsule » si existante) et permettre l’association capsule↔jalon.;"Given je consulte un jalon (quel qu’il soit)
Then je vois l’action « Créer une capsule »
And après création, je peux ouvrir la capsule depuis ce jalon";Must;8;"LM2-017;LM2-023";M1-M3;Photo+audio;"Upload signé + chiffrement; contrôle quota.";Non;milestone_capsule_cta_shown,milestone_capsule_created;FR/AR/EN;Addendum 27-04-2026.
